Node_type,ID,Description,Label,Reference_Count,First_Apperance,Last_Apperance,Confidence,_context,Aliases
ORGANIZATION,ORG_GOODBODIES,[N/A],Goodbodies,11,"Book 1, Chapter 1","Book 1, Chapter 1",0.53,"up young hobbits took a lot of provender. There were many Bagginses and Boffins, and also many Tooks and Brandybucks; there were various Grubbs (relations of Bilbo Baggins' grandmother), and various Chubbs (connexions of his Took grandfather); and a selection of Burrowses, Bolgers, Bracegirdles, Brockhouses, Goodbodies, Hornblowers and Proudfoots. Some",
ORGANIZATION,ORG_HORNBLOWERS,[N/A],Hornblowers,12,"Book 1, Chapter 1","Book 1, Chapter 1",0.62,"up young hobbits took a lot of provender. There were many Bagginses and Boffins, and also many Tooks and Brandybucks; there were various Grubbs (relations of Bilbo Baggins' grandmother), and various Chubbs (connexions of his Took grandfather); and a selection of Burrowses, Bolgers, Bracegirdles, Brockhouses, Goodbodies, Hornblowers and Proudfoots. Some",
ORGANIZATION,ORG_PROUDFOOTS,[N/A],Proudfoots,12,"Book 1, Chapter 1","Book 1, Chapter 1",0.61,"up young hobbits took a lot of provender. There were many Bagginses and Boffins, and also many Tooks and Brandybucks; there were various Grubbs (relations of Bilbo Baggins' grandmother), and various Chubbs (connexions of his Took grandfather); and a selection of Burrowses, Bolgers, Bracegirdles, Brockhouses, Goodbodies, Hornblowers and Proudfoots. Some",
PERSON,PER_ODO_PROUDFOOT,[N/A],Odo Proudfoot,33,"Book 1, Chapter 1","Book 1, Chapter 1",0.52,"was in his trouser-pocket. _My dear Bagginses and Boffins,_ he began again; _and my dear Tooks and Brandybucks, and Grubbs, and Chubbs, and Burrowses, and Hornblowers, and Bolgers, Bracegirdles, Goodbodies, Brockhouses and Proudfoots._ 'ProudFEET!' shouted an elderly hobbit from the back of the pavilion. His name, of course, was Proudfoot,",odo | old odo proudfoot | proudfoot
PERSON,PER_MASTER_EVERARD_TOOK,[N/A],Master Everard Took,10,"Book 1, Chapter 1","Book 1, Chapter 1",0.88,"small, but of perfect make and enchanting tones. Indeed, in one corner some of the young Tooks and Brandybucks, supposing Uncle Bilbo to have finished (since he had plainly said all that was necessary), now got up an impromptu orchestra, and began a merry dance-tune. Master Everard Took and Miss",
PERSON,PER_MISS_MELILOT_BRANDYBUCK,[N/A],Miss Melilot Brandybuck,10,"Book 1, Chapter 1","Book 1, Chapter 1",0.91,"and enchanting tones. Indeed, in one corner some of the young Tooks and Brandybucks, supposing Uncle Bilbo to have finished (since he had plainly said all that was necessary), now got up an impromptu orchestra, and began a merry dance-tune. Master Everard Took and Miss Melilot Brandybuck got on a",
LOCATION,LOC_ESGAROTH,[N/A],Esgaroth,30,"Book 1, Chapter 1","Book 2, Chapter 1",0.67,"Sackville-Bagginses, were insulted, feeling sure they had only been asked to fill up the required number, like goods in a package. 'One Gross, indeed! Vulgar expression.' _It is also, if I may be allowed to refer to ancient history, the anniversary of my arrival by barrel at Esgaroth on the",
LOCATION,LOC_LONG_LAKE,[N/A],Long Lake,9,"Book 1, Chapter 1","Book 1, Chapter 1",0.5,"to fill up the required number, like goods in a package. 'One Gross, indeed! Vulgar expression.' _It is also, if I may be allowed to refer to ancient history, the anniversary of my arrival by barrel at Esgaroth on the Long Lake; though the fact that it was_ my _birthday",
PERSON,PER_CHUBB,[N/A],Chubb,10,"Book 1, Chapter 1","Book 1, Chapter 1",0.82,"When they opened their eyes Bilbo was nowhere to be seen. One hundred and forty-four flabbergasted hobbits sat back speechless. Old Odo Proudfoot removed his feet from the table and stamped. Then there was a dead silence, until suddenly, after several deep breaths, every Baggins, Boffin, Took, Brandybuck, Grubb, Chubb,",
PERSON,PER_MILO_BURROWS,[N/A],Milo Burrows,28,"Book 1, Chapter 1","Book 1, Chapter 1",0.88,"memory of a LONG correspondence, with love from Bilbo,_ on a large waste-paper basket. Dora was Drogo's sister and the eldest surviving female relative of Bilbo and Frodo; she was ninety-nine, and had written reams of good advice for more than half a century. _For MILO BURROWS, hoping it will",
PERSON,PER_HUGO_BRACEGIRDLE,[N/A],Hugo Bracegirdle,24,"Book 1, Chapter 1","Book 1, Chapter 1",0.87,"MILO BURROWS, hoping it will be useful, from B.B.,_ on a gold pen and ink-bottle. Milo never answered letters. _For ANGELICA'S use, from Uncle Bilbo,_ on a round convex mirror. She was a young Baggins, and too obviously considered her face shapely. _For the collection of HUGO BRACEGIRDLE, from a",
PERSON,PER_BROCKHOUSE,[N/A],Brockhouse,19,"Book 1, Chapter 1","Book 1, Chapter 9",0.84,"Bilbo was nowhere to be seen. One hundred and forty-four flabbergasted hobbits sat back speechless. Old Odo Proudfoot removed his feet from the table and stamped. Then there was a dead silence, until suddenly, after several deep breaths, every Baggins, Boffin, Took, Brandybuck, Grubb, Chubb, Burrows, Bolger, Bracegirdle, Brockhouse, Goodbody,",
PERSON,PER_GOODBODY,[N/A],Goodbody,10,"Book 1, Chapter 1","Book 1, Chapter 1",0.86,"Bilbo was nowhere to be seen. One hundred and forty-four flabbergasted hobbits sat back speechless. Old Odo Proudfoot removed his feet from the table and stamped. Then there was a dead silence, until suddenly, after several deep breaths, every Baggins, Boffin, Took, Brandybuck, Grubb, Chubb, Burrows, Bolger, Bracegirdle, Brockhouse, Goodbody,",
PERSON,PER_TOBOLD_HORNBLOWER,[N/A],Tobold Hornblower,20,"Book 1, Chapter 1","Book 3, Chapter 8",0.92,"indeed, lord,' said Merry. 'For one thing,' said Théoden, 'I had not heard that they spouted smoke from their mouths.' 'That is not surprising,' answered Merry; 'for it is an art which we have not practised for more than a few generations. It was Tobold Hornblower, of Longbottom in the",
PERSON,PER_ESMERALDA,[N/A],Esmeralda,7,"Book 1, Chapter 1","Book 1, Chapter 1",0.77,"Bilbo's behaviour was absurd. For the moment most of them took it for granted that his disappearance was nothing more than a ridiculous prank. But old Rory Brandybuck was not so sure. Neither age nor an enormous dinner had clouded his wits, and he said to his daughter-in-law, Esmeralda: 'There's",
ORGANIZATION,ORG_THE_GUESTS,[N/A],The Guests,15,"Book 1, Chapter 1","Book 1, Chapter 9",0.54,"was a long and merry meal. Though the hobbits ate, as only famished hobbits can eat, there was no lack. The drink in their drinking-bowls seemed to be clear cold water, yet it went to their hearts like wine and set free their voices. The guests became suddenly aware that",
ORGANIZATION,ORG_HIS_FRIENDS,[N/A],His Friends,25,"Book 1, Chapter 1","Book 6, Chapter 8",0.58,"to help and heal him. Guard him well, while I am away!' He hurried off and disappeared again into the darkness. Frodo dozed, though the pain of his wound was slowly growing, and a deadly chill was spreading from his shoulder to his arm and side. His friends watched over",
PERSON,PER_ADELARD,[N/A],Adelard,18,"Book 1, Chapter 1","Book 1, Chapter 1",0.89,"'messages' for them. Inside in the hall there was piled a large assortment of packages and parcels and small articles of furniture. On every item there was a label tied. There were several labels of this sort: _For ADELARD TOOK, for his VERY OWN, from Bilbo,_ on an umbrella. Adelard",
PERSON,PER_ANGELICA,[N/A],Angelica,10,"Book 1, Chapter 1","Book 1, Chapter 1",0.84,"eldest surviving female relative of Bilbo and Frodo; she was ninety-nine, and had written reams of good advice for more than half a century. _For MILO BURROWS, hoping it will be useful, from B.B.,_ on a gold pen and ink-bottle. Milo never answered letters. _For ANGELICA'S use, from Uncle Bilbo,_",
LOCATION,LOC_SOUTHFARTHING,[N/A],Southfarthing,65,"Book 1, Chapter 1","Book 6, Chapter 9",0.52,"of Bagshot Row, did very well. Old Gaffer Gamgee got two sacks of potatoes, a new spade, a woollen waistcoat, and a bottle of ointment for creaking joints. Old Rory Brandybuck, in return for much hospitality, got a dozen bottles of Old Winyards: a strong red wine from the Southfarthing,",
PERSON,PER_SANCHO_PROUDFOOT,[N/A],Sancho Proudfoot,19,"Book 1, Chapter 1","Book 1, Chapter 1",0.65,"compliment,' said Merry Brandybuck, 'and so, of course, not true.' Then they went round the hole, and evicted three young hobbits (two Boffins and a Bolger) who were knocking holes in the walls of one of the cellars. Frodo also had a tussle with young Sancho Proudfoot (old Odo Proudfoot's",sancho | young sancho proudfoot
LOCATION,LOC_THE_GREY_HAVENS,[N/A],The Grey Havens,144,"Book 1, Chapter 2","Book 6, Chapter 9",0.79,"The Grey Havens The clearing up certainly needed a lot of work, but it took less time than Sam had feared. The day after the battle Frodo rode to Michel Delving and released the prisoners from the Lockholes. One of the first that they found was poor Fredegar Bolger, Fatty",
LOCATION,LOC_NORTHERN_MIRKWOOD,[N/A],Northern Mirkwood,357,"Book 1, Chapter 2","Book 6, Chapter 6",0.77,"was also a strange Elf clad in green and brown, Legolas, a messenger from his father, Thranduil, the King of the Elves of Northern Mirkwood. And seated a little apart was a tall man with a fair and noble face, dark-haired and grey-eyed, proud and stern of glance. He was",
ORGANIZATION,ORG_MOUNTAIN-TROLLS,[N/A],Mountain-Trolls,31,"Book 1, Chapter 2","Book 5, Chapter 6",0.67,"Mordor, and its hideous head, founded of black steel, was shaped in the likeness of a ravening wolf; on it spells of ruin lay. Grond they named it, in memory of the Hammer of the Underworld of old. Great beasts drew it, Orcs surrounded it, and behind walked mountain-trolls to",
PERSON,PER_GREEN,[N/A],Green,8,"Book 1, Chapter 2","Book 1, Chapter 2",0.71,"than you reckon. Who invented the stories anyway? Take dragons now.' 'No thank 'ee,' said Ted, 'I won't. I heard tell of them when I was a youngster, but there's no call to believe in them now. There's only one Dragon in Bywater, and that's Green,' he said, getting a",
PERSON,PER_YOUR_HAL,[N/A],Your Hal,28,"Book 1, Chapter 2","Book 1, Chapter 2",0.76,"works for Mr. Boffin at Overhill and goes up to the Northfarthing for the hunting. He _saw_ one.' 'Says he did, perhaps. Your Hal's always saying he's seen things; and maybe he sees things that ain't there.' 'But this one was as big as an elm tree, and walking –",
LOCATION,LOC_OVERHILL,[N/A],Overhill,10,"Book 1, Chapter 2","Book 1, Chapter 2",0.84,"'But what about these Tree-men, these giants, as you might call them? They do say that one bigger than a tree was seen up away beyond the North Moors not long back.' 'Who's _they_?' 'My cousin Hal for one. He works for Mr. Boffin at Overhill and goes up to",
LOCATION,LOC_NORTHFARTHING,[N/A],Northfarthing,25,"Book 1, Chapter 2","Book 6, Chapter 9",0.66,"these giants, as you might call them? They do say that one bigger than a tree was seen up away beyond the North Moors not long back.' 'Who's _they_?' 'My cousin Hal for one. He works for Mr. Boffin at Overhill and goes up to the Northfarthing for the hunting.",
ORGANIZATION,ORG_THE_BOUNDERS,[N/A],The Bounders,10,"Book 1, Chapter 2","Book 1, Chapter 2",0.64,"think that Ted had scored a point. 'All the same,' said Sam, 'you can't deny that others besides our Halfast have seen queer folk crossing the Shire – crossing it, mind you: there are more that are turned back at the borders. The Bounders have never been so busy before.",
LOCATION,LOC_EREGION,[N/A],Eregion,45,"Book 1, Chapter 2","Book 6, Chapter 6",0.81,"I guess. In what way?' 'In many ways,' answered the wizard. It is far more powerful than I ever dared to think at first, so powerful that in the end it would utterly overcome anyone of mortal race who possessed it. It would possess him. 'In Eregion long ago many",
ORGANIZATION,ORG_ELVEN-SMITHS,[N/A],Elven-Smiths,4,"Book 1, Chapter 2","Book 1, Chapter 2",0.55,"Elven-rings were made, magic rings as you call them, and they were, of course, of various kinds: some more potent and some less. The lesser rings were only essays in the craft before it was full-grown, and to the Elven-smiths they were but trifles – yet still to my mind",
PERSON,PER_HIMSELF,[N/A],Himself,13,"Book 1, Chapter 2","Book 6, Chapter 4",0.58,"ring was very beautiful, and very useful at need; and if anything was wrong or queer, it was himself. He said that it was ""growing on his mind"", and he was always worrying about it; but he did not suspect that the ring itself was to blame. Though he had",
EVENT,EVT_THE_BATTLE_OF_THE_PELENNOR_FIELDS,[N/A],The Battle Of The Pelennor Fields,852,"Book 1, Chapter 12","Book 6, Chapter 9",0.96,"The Battle of the Pelennor Fields But it was no orc-chieftain or brigand that led the assault upon Gondor. The darkness was breaking too soon, before the date that his Master had set for it: fortune had betrayed him for the moment, and the world had turned against him; victory",
PERSON,PER_THE_ENEMY,[N/A],The Enemy,139,"Book 1, Chapter 2","Book 5, Chapter 7",0.79,"our time is beginning to look black. The Enemy is fast becoming very strong. His plans are far from ripe, I think, but they are ripening. We shall be hard put to it. We should be very hard put to it, even if it were not for this dreadful chance.",
PERSON,PER_THESE_THREE,[N/A],These Three,26,"Book 1, Chapter 2","Book 5, Chapter 6",0.67,"they were now weary beyond joy or sorrow. These three were unscathed, for such was their fortune and the skill and might of their arms, and few indeed had dared to abide them or look on their faces in the hour of their wrath. But many others were hurt or",
ORGANIZATION,ORG_RINGWRAITHS,[N/A],Ringwraiths,74,"Book 1, Chapter 2","Book 6, Chapter 3",0.66,"them or sullied them. Seven the Dwarf-kings possessed, but three he has recovered, and the others the dragons have consumed. Nine he gave to Mortal Men, proud and great, and so ensnared them. Long ago they fell under the dominion of the One, and they became Ringwraiths, shadows under his",nine servants of the lord of the rings
ORGANIZATION,ORG_THE_SEVEN,[N/A],The Seven,24,"Book 1, Chapter 2","Book 2, Chapter 2",0.55,"Nine walked abroad. Yet who knows? As the Shadow grows once more, they too may walk again. But come! We will not speak of such things even in the morning of the Shire. 'So it is now: the Nine he has gathered to himself; the Seven also, or else they",
PERSON,PER_GIL-GALAD,[N/A],Gil-Galad,134,"Book 1, Chapter 2","Book 2, Chapter 2",0.93,"or you shall hear it told in full by one who knows it best. 'But for the moment, since most of all you need to know how this thing came to you, and that will be tale enough, this is all that I will say. It was Gil-galad, Elven-king and",
PERSON,PER_ELVEN-KING,[N/A],Elven-King,13,"Book 1, Chapter 2","Book 2, Chapter 6",0.84,"or you shall hear it told in full by one who knows it best. 'But for the moment, since most of all you need to know how this thing came to you, and that will be tale enough, this is all that I will say. It was Gil-galad, Elven-king and",
LOCATION,LOC_NORTHERN_HALF_OF_THE_PELENNOR,[N/A],Northern Half Of The Pelennor,236,"Book 1, Chapter 2","Book 6, Chapter 9",0.88,"northern half of the Pelennor was overrun, and there camps were blazing, orcs were flying towards the River like herds before the hunters; and the Rohirrim went hither and thither at their will. But they had not yet overthrown the siege, nor won the Gate. Many foes stood before it,",
LOCATION,LOC_WILDERLAND,[N/A],Wilderland,127,"Book 1, Chapter 2","Book 3, Chapter 5",0.76,"now only to a few, and the Council of the Wise could discover no more. But at last I can carry on the story, I think. 'Long after, but still very long ago, there lived by the banks of the Great River on the edge of Wilderland a clever-handed and",
PERSON,PER_GRANDMOTHER_OF_THE_FOLK,[N/A],Grandmother Of The Folk,18,"Book 1, Chapter 2","Book 1, Chapter 2",0.61,"fathers of the Stoors, for they loved the River, and often swam in it, or made little boats of reeds. There was among them a family of high repute, for it was large and wealthier than most, and it was ruled by a grandmother of the folk, stern and wise",
PERSON,PER_LORD_SMÉAGOL,[N/A],Lord Sméagol,1475,"Book 1, Chapter 2","Book 6, Chapter 3",0.92,"promises – against His orders, yes. Must take it. The Wraiths are searching. Must take it.' 'Not for Him! ' 'No, sweet one. See, my precious: if we has it, then we can escape, even from Him, eh? Perhaps we grows very strong, stronger than Wraiths. Lord Sméagol? Gollum the",
PERSON,PER_DÉAGOL,[N/A],Déagol,10,"Book 1, Chapter 2","Book 1, Chapter 2",0.79,"he burrowed under trees and growing plants; he tunnelled into green mounds; and he ceased to look up at the hill-tops, or the leaves on trees, or the flowers opening in the air: his head and his eyes were downward. 'He had a friend called Déagol, of similar sort, sharper-eyed",
PERSON,PER_MY_LOVE,[N/A],My Love,2,"Book 1, Chapter 2","Book 1, Chapter 2",0.75,"'""Why?"" said Deal. ' ""Because it's my birthday, my love, and I wants it,"" said Sméagol. '""I don't care,"" said Deal. ""I have given you a present already, more than I could afford. I found this, and I'm going to keep it."" ' ""Oh, are you indeed, my love,"" said",
PERSON,PER_POOR_DEAL,[N/A],Poor Deal,5,"Book 1, Chapter 2","Book 1, Chapter 2",0.7,"Ring was trying to get back to its master. It had slipped from Isildur's hand and betrayed him; then when a chance came it caught poor Deal, and he was murdered; and after that Gollum, and it had devoured him. It could make no further use of him: he was",
PERSON,PER_HIS_MASTER,[N/A],His Master,148,"Book 1, Chapter 2","Book 6, Chapter 4",0.67,"his beer suspiciously. He had a natural mistrust of the inhabitants of other parts of the Shire; and also he was not disposed to be quick friends with anyone who had beaten his master, however long ago. After a few remarks about the weather and the agricultural prospects (which were",
PERSON,PER_THE_PRECIOUS,[N/A],The Precious,184,"Book 1, Chapter 2","Book 6, Chapter 3",0.84,"had been stunned. They roused him with difficulty, and for some time he would not lift his face, but knelt forward on his elbows, covering the back of his head with his large flat hands. `Wraiths!' he wailed. `Wraiths on wings! The Precious is their master. They see everything, everything.",
ORGANIZATION,ORG_THE_WOODMEN,[N/A],The Woodmen,11,"Book 1, Chapter 2","Book 6, Chapter 5",0.71,"'The Wood-elves tracked him first, an easy task for them, for his trail was still fresh then. Through Mirkwood and back again it led them, though they never caught him. The wood was full of the rumour of him, dreadful tales even among beasts and birds. The Woodmen said that",
PERSON,PER_MY_FRIEND,[N/A],My Friend,4,"Book 1, Chapter 2","Book 1, Chapter 2",0.51,"whole length of Wilderland, without hope, and without success. But at last, when I had given up the chase and turned to other parts, Gollum was found. My friend returned out of the great perils bringing the miserable creature with him. 'What he had been doing he would not say.",
LOCATION,LOC_ORODRUIN,[N/A],Orodruin,90,"Book 1, Chapter 2","Book 6, Chapter 4",0.8,"hot enough; nor was there ever any dragon, not even Ancalagon the Black, who could have harmed the One Ring, the Ruling Ring, for that was made by Sauron himself. There is only one way: to find the Cracks of Doom in the depths of Orodruin, the Fire-mountain, and cast",
EVENT,EVT_QUEST_OF_MOUNT_DOOM,[N/A],Quest Of Mount Doom,79,"Book 1, Chapter 2","Book 6, Chapter 4",0.71,"it:"" Well, I'll want it. I can't get it now.' At that moment Elrond came out with Gandalf, and he called the Company to him. 'This is my last word,' he said in a low voice. 'The Ring-bearer is setting out on the Quest of Mount Doom. On him alone",
LOCATION,LOC_BRUINEN_OF_RIVENDELL,[N/A],Bruinen Of Rivendell,1115,"Book 1, Chapter 12","Book 6, Chapter 9",0.91,"Bridge on which the Road crosses.' 'What is that other river we can see far away there?' asked Merry. 'That is Loudwater, the Bruinen of Rivendell,' answered Strider. 'The Road runs along the edge of the hills for many miles from the Bridge to the Ford of Bruinen. But I",
